,x,y,z,cluster
435,-2689.1365,1667.9417,-1095.4265,0
436,-3031.898,1474.175,-1204.1958,0
437,-3382.1528,1324.6631,-1138.6716,0
438,-4070.4854,1265.916,-1044.7666,0
439,-2815.96,1603.9167,-1137.5829,0
440,-2444.303,1608.028,-1115.5543,0
441,-3105.699,1404.8118,-1088.9402,0
442,-3071.5964,1522.7524,-1071.0793,0
443,-3189.743,1378.1555,-1041.5898,0
444,-2690.4666,1471.675,-1204.061,0
445,-2688.5576,1496.506,-1065.076,0
446,-2893.8179,1493.8522,-1121.1993,0
447,-2809.3127,1515.7352,-1112.5217,0
448,-2246.4207,1691.0493,-1135.5618,0
449,-2729.8567,1461.4957,-1159.7429,0
450,-2445.5774,1607.0607,-1163.224,0
451,-2824.5344,1571.1403,-1156.3037,0
452,-2812.8992,1508.486,-1186.1448,0
453,-2514.1936,1658.4713,-1143.0709,0
454,-2728.113,1427.7706,-1107.8511,0
455,-3027.57,1509.0593,-1116.8389,0
456,-3372.3774,1418.1824,-1132.1005,0
457,-2723.3499,1551.3462,-1075.7806,0
458,-3265.672,1304.4207,-1170.4308,0
459,-3328.3438,1417.9453,-1064.8733,0
460,-3234.3853,1494.6912,-1111.6683,0
461,-2870.2083,1542.5465,-1130.2966,0
462,-2592.1526,1652.9364,-1139.7599,0
463,-3171.541,1504.6017,-1134.3195,0
464,-3606.652,1345.7573,-1102.5017,0
465,-2904.0647,1559.7341,-1019.8537,0
466,-2551.9614,1665.711,-1069.5519,0
467,-3259.0586,1411.3193,-1039.329,0
468,-2791.575,1642.2659,-1081.1729,0
469,-3035.0505,1528.1389,-1016.3446,0
470,-3118.038,1442.3219,-1084.2076,0
471,-2887.675,1575.0013,-1109.364,0
472,-3163.3276,1475.2202,-1156.3097,0
473,-2876.52,1479.7468,-1106.5387,0
474,-2591.1616,1659.2877,-1068.3248,0
475,-2779.1763,1537.6143,-1175.6287,0
476,-2838.8062,1452.6542,-1108.5251,0
477,-2915.0906,1477.348,-1101.6642,0
478,-2892.0784,1432.5039,-1158.329,0
479,-2816.5674,1628.7573,-1107.5812,0
480,-3382.9038,1381.5892,-1110.7286,0
481,-3414.8625,1332.9492,-1111.5883,0
482,-2895.5088,1525.1272,-1008.0598,0
483,-2885.9956,1599.8654,-1074.8553,0
484,-2096.463,1713.8052,-1123.3239,0
485,-3254.9138,1411.0781,-1162.3275,0
486,-2822.4504,1434.8093,-1175.9773,0
487,-2846.0952,1586.3506,-1123.9915,0
488,-2947.319,1518.617,-1188.507,0
489,-3441.8596,1354.0619,-1134.8558,0
490,-2869.84,1460.7142,-1073.1561,0
491,-2447.9385,1648.0616,-1138.1974,0
492,-2151.805,1741.0952,-1092.1305,0
493,-3117.3918,1477.8195,-1097.3348,0
494,-3206.6365,1349.9288,-1048.5192,0
495,-2649.457,1670.3677,-1089.7208,0
496,-3095.78,1481.6805,-1027.662,0
497,-3228.0325,1393.0763,-1143.5995,0
498,-3116.2166,1475.3026,-1049.0952,0
499,-2840.4287,1533.2604,-1101.6794,0
500,-2909.3425,1524.3845,-1032.5585,0
501,-2968.3027,1497.4822,-1098.7899,0
502,-3041.7874,1400.1947,-1075.7505,0
503,-2704.335,1498.9613,-1098.4788,0
504,-3040.948,1469.747,-1114.1926,0
505,-2800.2332,1535.541,-1054.1652,0
506,-3009.1543,1561.3959,-1133.8495,0
507,-3616.551,1321.7643,-1061.6288,0
508,-2788.2505,1531.981,-1088.1941,0
509,-2754.72,1488.9913,-1063.8019,0
510,-2849.2334,1544.1191,-1167.6198,0
511,-3476.6406,1334.8439,-1053.4586,0
512,-3041.1438,1465.1328,-1055.3093,0
513,-2568.912,1625.9143,-1079.4172,0
514,-2884.4375,1518.9276,-1193.2645,0
515,-3282.0203,1326.9333,-1125.3966,0
516,-3378.827,1420.7075,-1009.7497,0
517,-3117.2542,1520.0879,-1057.1083,0
518,-2559.6257,1542.4686,-1068.8429,0
519,-2561.7434,1573.0579,-1072.4996,0
520,-2890.454,1530.2507,-1144.7333,0
521,-2631.73,1645.9794,-1081.7908,0
522,-3039.3977,1442.3401,-1143.3024,0
523,-2788.3193,1553.4359,-1139.1732,0
524,-2753.4497,1494.4835,-1155.4651,0
525,-2583.4397,1589.0791,-1125.5702,0
526,-2955.5466,1529.1984,-1147.667,0
527,-3087.2686,1422.8228,-1179.4165,0
528,-2819.6946,1358.4943,-1178.0634,0
529,-2989.1423,1529.9381,-1131.7867,0
530,-3442.1423,1304.165,-1107.1624,0
531,-2771.1318,1515.5956,-1116.2244,0
532,-2611.5027,1519.7327,-1078.3983,0
533,-2775.5605,1472.3356,-1090.9764,0
534,-3120.2468,1474.2891,-1165.2281,0
535,-3158.4863,1412.3889,-1053.492,0
